,activites,backgrounds,description,duration,end,languages,location,natioinalities,organization,positions,salary,selections,skills,start,url
0,High communication skills and Advanced knowledge of English for teaching,"Required Education, Languages","        We are in search of people with high communication skills regardless of their undergraduate. It is a requirement English and advanced knowledge of third languages: German, Portuguese, Italian, French or Mandarin. Also this person will be part of a INTERACTIVE LANGUAGE SYSTEM which supports European Academy since the beginning of the exchange to align expectations and the trainee. Our classes are synonyms of learning and entertainment!      ",650 USD per Month ,30 Weeks,No preferences,"Santo Domingo, Dominican Republic","Preferred France, Germany, Canada, United Kingdom, United States",Academia Europea,01-Sep-17,2,Computer Provided,"Required Language Teaching, Team Management, Presentation skills",31-Mar-18,http://aiesec.org/opportunity/859863
1,Manage and handle Social Media,"Preferred Marketing, Graphic design",        1. Managing our social media handles.2. Doing field visit and field based research.3. Meeting with our clients for advertisement.4. Managing our events.5. Meeting with our sponsors      ,12 Weeks,30-Nov-17,No preferences,"Udaipur, India",No preferences,VIVian Creations (Shades of Udaipur),1,Unpaid,1. General Interview by AIESEC in Udaipur VP. 2. Review report submitted to VIVian Creation. 3. An interview taken by the Responsible from VIVian Creation. 4.OP Manager Priyanshi Jain +91 8233304371,"Preferred Adobe After Effects, Photoshop, Corel Draw, Content Marketing, Digital Marketing, Market Research",01-Sep-17,http://aiesec.org/opportunity/859805
2,Story board creation,Preferred Graphic design,"        The Startup Unicorns Project is a 6 weeks to 3 months unpaid professional internship across Egypt’s top startups. This project was born out of our belief in the power Egyptian startups have in changing the world. This project also supports Egypt in achieving Industry, Innovation and Infrastructure which is one of the United Nation’s Sustainable Development Goals (Goal #9).      ",6 Weeks,14-Oct-17,No preferences,"Giza, Egypt",No preferences,ABDA,20,Unpaid,The selection process is as follows: - You will need to attach your CV - You will need to conduct Skype interview An LC representative will contact you shortly after receiving your application to support you through the processThe interm will have to pay 100$ utility fees upon arrival,"Preferred Photoshop, Adobe Illustrator, Leadership, Creativity",01-Sep-17,http://aiesec.org/opportunity/859778
3,you will Make social media marketing plans and campaigns.,Preferred Marketing,"        The Startup Unicorns Project is a 6 weeks to 3 monthsunpaid professional internship across Egypt’s top startups.This project was born out of our belief in the powerEgyptian startups have in changing the world. The StartupUnicorns Project supports Egypt in achieving Industry,Innovation and Infrastructure which is one of the UnitedNation’s Sustainable Development Goals (Goal #9).      ",6 Weeks,14-Oct-17,No preferences,"Giza, Egypt",No preferences,ABDA,20,Unpaid,The selection process is as follows: - You will need to attach your CV - You will need to conduct Skype interview An LC representative will contact you shortly after receiving your application to support you through the processThe intern will have to pay 100 $ upon arrival,"Preferred Presentation skills, Leadership, Team Management, Handling Pressure",01-Sep-17,http://aiesec.org/opportunity/859777
4,You will Create Marketing plans and Strategies,Preferred Marketing,"        The Startup Unicorns Project is a 6 weeks to 3 months unpaidprofessional internship across Egypt’s top startups. This project also supports Egypt in achieving Industry, Innovationand Infrastructure which is one of the United Nation’s SustainableDevelopment Goals (Goal #9).      ",6 Weeks,14-Oct-17,No preferences,"Giza, Egypt",No preferences,ABDA,20,Unpaid,The selection process is as follows: - You will need to attach your CV - You will need to conduct Skype interview An LC representative will contact you shortly after receiving your application to support you through the processYou will have to pay 100$ upon arrival,"Preferred Adobe InDesign, Leadership, Handling Pressure, Team Management, Presentation skills, UNIX, Adobe Illustrator",01-Sep-17,http://aiesec.org/opportunity/859776
5,You will work closely with customers to determine their needs,"Preferred Business administration, Marketing","        The Startup Unicorns Project is a 6 weeks to 3 months unpaidprofessional internship across Egypt’s top startups. This project also supports Egypt in achieving Industry, Innovationand Infrastructure which is one of the United Nation’s SustainableDevelopment Goals (Goal #9)      ",6 Weeks,14-Oct-17,No preferences,"Cairo, Egypt",No preferences,Fuze,20,Unpaid,The selection process is as follows: - You will need to attach your CV - You will need to conduct a Skype interview An LC representative will contact you shortly after receiving your application to support you through the process.The intern will pay 100$ utility fees upon arrival.,"Preferred Sales, Presentation skills, Leadership, Team Management",01-Sep-17,http://aiesec.org/opportunity/859775
6,User Acquisition,"Preferred International relations, Public relations",        assist the companies acquire new customers and tap into markets      ,Unpaid,13 Weeks,No preferences,"Moratuwa, Sri lanka","Preferred Spain, Germany",Erbenlab H.Q pvt ltd,14-Sep-17,3,Computer Provided,"Preferred Market Research, Digital Marketing, Content Marketing, Internet usage, Windows PC usage",14-Dec-17,http://aiesec.org/opportunity/859691
7,Identify Tourism based Community Development projects & Regions,"Preferred Marketing, Tourism & hotel management","        Identify and work on Community Development Projects, implement and review those projects.      ",Unpaid,12 Weeks,No preferences,"Nugegoda, Sri Lanka","Preferred Germany, France, Canada, Czech Republic, The Netherlands",Thambili Island Travels,01-Sep-17,2,Computer Provided,"Required Project Management, Training, Financial management, Presentation skills Preferred Content Marketing",30-Nov-17,http://aiesec.org/opportunity/859625
8,Provide excellent customer service by exceeding customer expectations,Preferred International Trade,"        ?Host LC—SZU?Established in 2009, SZU has become one of the best LCs in AIESEC MoC. AIESEC SZU provides EPs with international and wonderful opportunities. Shenzhen, as the first and the most successful Special Economic Zone, is the most prosperous city apart from Beijing and Shanghai in China. Situated immediately north of Hong Kong Special Administrative Region, it forges a tight link to international business.[Role Description]Operations/Customer Support Intern      ",13 Weeks,01-Dec-17,No preferences,"Shenzhen, China",No preferences,Cowise,2,3000 CNY per Month ,?How to apply? 1.Apply for this opportunity 2.Send your following information and title: EP Candidate of Cowise to TN Manager a. CV b. Skype ID c. Earliest Starting Date d. Acceptable Duration e. Available time for interview in the following 3 days we'll reply in two days 3.Interview with TN Manager 4.Interview with the company 5.Prepare all the documents before arrival.,"Preferred Team Management, Leadership",01-Sep-17,http://aiesec.org/opportunity/859615
9,Collaborating with SEO and SEM teams in order to share knowledge,Required Marketing Preferred Software development and programming,"        The main activities of the company are E-Business marketing consulting, set up a website and search engine optimization, optimize the rank of website with special keywords, fix some metrics that have problems on website to increase the speed of optimization and analyze websites for better results on Google and presence on search engines, Internet and prosperity to the business and market.** The EPs should have background on Search Engine Optimisation (SEO)**      ",8 Weeks,15-Dec-17,No preferences,"Tehran, Iran",No preferences,Novin Marketing,1,Unpaid,"After applying, you will receive a welcome email within 2 days. Then we will set an interview with you and after that we send your CV to company. Then you will have a professional interview with the company. (Starting time is flexible)","Required Creativity, Market Research Preferred Client servicing, Data Analysis",15-Oct-17,http://aiesec.org/opportunity/859488
10,Exploring Chinese methodologies and comparing them with Indian methodologies,"Preferred Design, Graphic design",        The intern will be required to work with the company in analyzing Indian and Chinese education markets and carry out product studies.      ,20000 INR per Month ,12 Weeks,No preferences,"Noida, India","Preferred China, Mainland",Gradestack Learning Private Limited,28-Aug-17,1,Computer Provided,Required Mobile Development,24-Nov-17,http://aiesec.org/opportunity/859429
11,Exploring Chinese methodologies and comparing them with Indian methodologies,"Preferred Computer engineering, Software development and programming",        The role of the applicant will be to build features on app and web. It also included high end coding for optimized feature development. The key area involves understanding basic coding concepts and other related things.      ,20000 INR per Month ,12 Weeks,No preferences,"Noida, India","Preferred China, Mainland",Gradestack Learning Private Limited,28-Aug-17,1,Computer Provided,"Required Java, Android",24-Nov-17,http://aiesec.org/opportunity/859428
12,Researching about the current job trends in marketing related to every specialisation.,Preferred Computer sciences,"        The intern will be given a market based on the native language of the intern.This market shall be a country where the same language is spoken or is a primary language of the country.The intern has to market the mobile applications in his/her country and try to achieve targets accordingly.Apart from that, the intern may need to provide customer support or translation of a few documents which will in turn help the intern market and spread the application in a much a better way.      ",Unpaid,13 Weeks,No preferences,", Vadodara, India","Preferred Russia, Spain, Brazil, Morocco, China, Mainland",Chorus ProApp Pvt. Ltd.,28-Aug-17,5,Computer Provided,"Preferred Digital Marketing, Windows PC usage, Mobile Development",27-Nov-17,http://aiesec.org/opportunity/859342
13,Researching about the current job trends in engineering related to every specialisation.,"Preferred Computer engineering, Marketing","        The intern will be given a market based on the native language of the intern.This market shall be a country where the same language is spoken or is a primary language of the country.The intern has to market the mobile applications in his/her country and try to achieve targets accordingly.Apart from that, the intern may need to provide customer support or translation of a few documents which will in turn help the intern market and spread the application in a much a better way.      ",Unpaid,13 Weeks,No preferences,", Vadodara, India","Preferred Russia, China, Mainland, Morocco, Spain, Indonesia",Chorus ProApp Pvt. Ltd.,28-Aug-17,5,Computer Provided,"Preferred Digital Marketing, Mobile Development, Windows PC usage",27-Nov-17,http://aiesec.org/opportunity/859336
14,Propose & Execute plans that would drive cultural alignment in the airport,"Preferred International Trade, Marketing, Business administration",        - Act as change agent to align the retail culture in Airport with Flexiroam's corporate culture- Improve Flexiroam's branding in airport- Ensure high levels of customer satisfaction through excellent customer services      ,2700 MYR ,13 Weeks,No preferences,"selangor, ","Preferred Belgium, Sweden, Poland, Switzerland, Romania, Ukraine, Austria, Australia, The Netherlands, Hungary, Canada, Russia, Spain, Italy, Germany, United Kingdom, France, United States",Flexiroam Sdn. Bhd.,01-Sep-17,10,Computer Provided,"Required Client servicing, Content Marketing, Facilitation, Training, Project Management, Organisational Management Preferred Leadership, Team Management",01-Dec-17,http://aiesec.org/opportunity/859324
15,Fund Raising.,"Preferred Public relations, Entrepreneurship, Business administration","        ideas	for	funding	streams;	• You	are	a	strong	communicator	who	is	persuasive,	passionate,	and	would	love	being	part	of	an	entrepreneurial	nonprofit	organization	that	routinely	changes	and	innovates.	• You	are	extremely	well	organized,	detail-orientated,	dependable,	and	a	team	player.	• You	relish	a	workplace	high	on	mission,	innovation,	integrity	and	excellence.	• You	WANT	to	get	out	and	make	the	ideas	happen!	• The	ideal	candidate	is	an	energetic	and	strategic	thinker      ",10 Weeks,31-Oct-17,No preferences,"Accra, ghana",No preferences,Wishes Alliance,5,Unpaid,Applicants will have their Cvs selected and reviewed .Selected cvs will be interviewed .,"Required Community Development, Adaptability",17-Aug-17,http://aiesec.org/opportunity/859309
16,Advertise and hire software Engineers and operation staff t,Preferred Human Resources,        To support all the human resource activities in Myanmar      ,8 Weeks,01-Nov-17,No preferences,"Yangon, Myanmar",No preferences,Zig Way,1,Unpaid,1. Selection and Interview by AIESEC in Myanmar2. Interview by Zigway 3. Selection,"Preferred Digital Marketing, Hiring, Human Resources, Organisational Management, Recruiting, Relationship Management, Adaptability, Client servicing, Google Drive, Solution Orientation",01-Sep-17,http://aiesec.org/opportunity/859303
